,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
349741,0,ADULT,79,18,10 to 19 years,X,Main Library,February,2016,z,email,True,2009,False,0.0
149947,0,ADULT,0,0,20 to 24 years,S7,Sunset,None,None,z,email,True,2013,True,0.0
285610,0,ADULT,150,216,35 to 44 years,X,Main Library,July,2016,z,email,True,2003,False,3.0
335527,1,JUVENILE,0,0,0 to 9 years,M4,Merced,None,None,z,email,True,2015,True,0.0
251071,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2016,True,0.0
159580,0,ADULT,88,1,45 to 54 years,B4,Bernal Heights,June,2014,z,email,True,2005,False,9.0
98340,0,ADULT,321,15,55 to 59 years,W2,West Portal,November,2015,z,email,True,2010,False,7.0
64703,0,ADULT,2,0,25 to 34 years,X,Main Library,September,2015,z,email,True,2015,False,5.0
179486,3,SENIOR,0,0,65 to 74 years,X,Main Library,None,None,a,print,False,2013,False,6.0
161829,0,ADULT,0,0,25 to 34 years,M8,Mission Bay,None,None,z,email,True,2015,False,0.0
252818,0,ADULT,0,0,55 to 59 years,X,Main Library,None,None,z,email,True,2014,True,0.0
15392,0,ADULT,21,2,35 to 44 years,M8,Mission Bay,July,2016,z,email,True,2014,True,0.0
412147,1,JUVENILE,40,0,0 to 9 years,P9,Presidio,September,2014,z,email,True,2011,False,2.0
160284,0,ADULT,286,57,45 to 54 years,P9,Presidio,December,2014,z,email,True,2003,False,2.0
284286,0,ADULT,0,0,25 to 34 years,S7,Sunset,None,None,z,email,True,2013,False,5.0
61451,0,ADULT,83,18,20 to 24 years,N6,North Beach,April,2016,a,print,False,2006,False,7.0
168750,0,ADULT,2,0,25 to 34 years,M8,Mission Bay,January,2011,z,email,True,2010,False,10.0
46326,0,ADULT,0,0,20 to 24 years,M4,Merced,January,2016,z,email,True,2015,False,7.0
233058,0,ADULT,0,0,25 to 34 years,X,Main Library,October,2015,z,email,True,2014,False,3.0
121572,0,ADULT,7,12,25 to 34 years,P9,Presidio,April,2016,z,email,True,2015,False,5.0
130874,4,WELCOME,1,0,20 to 24 years,W2,West Portal,June,2015,z,email,True,2015,False,4.0
76329,0,ADULT,86,200,35 to 44 years,N6,North Beach,February,2016,z,email,True,2009,False,3.0
415898,2,YOUNG ADULT,978,12,10 to 19 years,R3,Richmond,July,2016,a,print,False,2012,False,1.0
121751,0,ADULT,416,307,35 to 44 years,X,Main Library,November,2013,p,phone,False,2003,False,0.0
49283,0,ADULT,3,0,20 to 24 years,M8,Mission Bay,May,2015,z,email,True,2015,True,0.0
166518,0,ADULT,533,619,45 to 54 years,P9,Presidio,July,2016,z,email,True,2003,False,2.0
244409,0,ADULT,8,6,25 to 34 years,X,Main Library,June,2015,z,email,True,2013,False,6.0
416935,3,SENIOR,1,0,75 years and over,X,Main Library,June,2014,p,phone,False,2014,True,0.0
67783,0,ADULT,6,13,25 to 34 years,R3,Richmond,March,2014,z,email,True,2012,False,1.0
387676,1,JUVENILE,79,9,0 to 9 years,W2,West Portal,May,2016,z,email,True,2015,False,7.0
253793,0,ADULT,1,0,20 to 24 years,X,Main Library,April,2015,z,email,True,2011,False,11.0
395483,2,YOUNG ADULT,575,88,10 to 19 years,O7,Ortega,July,2016,z,email,True,2007,False,11.0
296401,0,ADULT,94,9,20 to 24 years,W2,West Portal,December,2014,z,email,True,2003,False,4.0
186945,0,ADULT,61,11,45 to 54 years,M4,Merced,February,2016,z,email,True,2012,True,0.0
162591,0,ADULT,4,2,45 to 54 years,P7,Potrero,July,2015,z,email,True,2012,False,10.0
314733,1,JUVENILE,6,0,10 to 19 years,E9,Excelsior,April,2015,z,email,True,2008,False,11.0
378259,0,ADULT,0,0,65 to 74 years,W4,Western Addition,None,None,z,email,True,2014,False,4.0
118118,0,ADULT,2,0,20 to 24 years,M6,Mission,April,2016,z,email,True,2016,True,0.0
280421,0,ADULT,6,5,25 to 34 years,G6,Golden Gate Valley,July,2016,z,email,True,2014,False,2.0
28326,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2013,False,0.0
241038,0,ADULT,2,0,35 to 44 years,I5,Ingleside,May,2016,z,email,True,2015,False,11.0
300531,3,SENIOR,384,36,65 to 74 years,O7,Ortega,July,2016,z,email,True,2008,False,4.0
288324,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2011,False,10.0
326187,1,JUVENILE,564,184,10 to 19 years,R3,Richmond,July,2016,z,email,True,2006,False,4.0
214010,0,ADULT,4,0,25 to 34 years,P3,Parkside,May,2016,z,email,True,2015,False,4.0
241579,0,ADULT,1,0,45 to 54 years,X,Main Library,October,2015,z,email,True,2015,True,0.0
398686,2,YOUNG ADULT,12,0,10 to 19 years,P5,Portola,July,2016,p,phone,False,2007,False,9.0
155298,0,ADULT,26,8,25 to 34 years,P5,Portola,October,2013,z,email,True,2003,False,10.0
48114,4,WELCOME,1,0,25 to 34 years,P7,Potrero,February,2016,z,email,True,2016,False,10.0
204831,0,ADULT,3,3,35 to 44 years,M4,Merced,March,2015,z,email,True,2014,True,0.0
87961,0,ADULT,458,109,45 to 54 years,M2,Marina,July,2016,z,email,True,2004,False,2.0
347910,2,YOUNG ADULT,0,0,10 to 19 years,W2,West Portal,None,None,z,email,True,2015,True,0.0
288881,0,ADULT,38,83,45 to 54 years,X,Main Library,July,2016,z,email,True,2004,False,5.0
235192,0,ADULT,350,345,25 to 34 years,P9,Presidio,August,2013,z,email,True,2003,False,2.0
301022,3,SENIOR,300,29,65 to 74 years,E9,Excelsior,July,2016,z,email,True,2003,False,9.0
385651,0,ADULT,20,13,55 to 59 years,S7,Sunset,November,2014,p,phone,False,2008,False,9.0
176637,0,ADULT,96,150,45 to 54 years,R3,Richmond,July,2016,z,email,True,2010,False,1.0
174143,0,ADULT,12,3,35 to 44 years,X,Main Library,January,2016,z,email,True,2012,False,5.0
3516,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2013,False,2.0
417346,1,JUVENILE,16,0,0 to 9 years,G4,Glen Park,August,2015,a,print,False,2015,False,11.0
311944,0,ADULT,3,8,20 to 24 years,E9,Excelsior,October,2015,p,phone,True,2014,False,11.0
308416,1,JUVENILE,41,11,10 to 19 years,O7,Ortega,November,2013,z,email,True,2007,True,0.0
287679,3,SENIOR,0,0,65 to 74 years,B4,Bernal Heights,None,None,z,email,True,2014,False,9.0
257371,0,ADULT,1,0,35 to 44 years,X,Main Library,March,2013,z,email,True,2013,False,0.0
191094,0,ADULT,8,4,25 to 34 years,M8,Mission Bay,July,2014,z,email,True,2013,False,4.0
422733,3,SENIOR,1107,223,75 years and over,E9,Excelsior,May,2016,z,email,True,2003,False,11.0
413650,1,JUVENILE,15,18,10 to 19 years,R3,Richmond,August,2014,z,email,True,2009,False,1.0
122229,0,ADULT,3,0,25 to 34 years,P7,Potrero,August,2013,z,email,True,2013,True,0.0
422817,1,JUVENILE,18,1,0 to 9 years,B4,Bernal Heights,May,2016,z,email,True,2016,False,0.0
94297,0,ADULT,25,1,45 to 54 years,R3,Richmond,April,2016,z,email,True,2003,False,0.0
24709,0,ADULT,1,4,25 to 34 years,X,Main Library,December,2015,p,phone,False,2012,False,0.0
328682,4,WELCOME,0,0,10 to 19 years,X,Main Library,None,None,z,email,True,2015,False,6.0
379333,3,SENIOR,45,7,75 years and over,W4,Western Addition,October,2014,z,email,True,2003,False,2.0
338563,1,JUVENILE,73,4,10 to 19 years,M6,Mission,June,2016,p,phone,False,2004,False,8.0
211209,0,ADULT,12,18,35 to 44 years,I5,Ingleside,June,2015,z,email,True,2012,False,7.0
94874,0,ADULT,655,301,35 to 44 years,A5,Anza,April,2013,z,email,True,2003,False,1.0
252973,4,WELCOME,1,1,25 to 34 years,X,Main Library,November,2014,z,email,True,2014,True,0.0
244713,0,ADULT,10,10,25 to 34 years,X,Main Library,April,2014,z,email,True,2012,False,6.0
406235,1,JUVENILE,98,26,0 to 9 years,O2,Ocean View,June,2016,z,email,True,2013,False,11.0
129179,0,ADULT,29,3,45 to 54 years,G6,Golden Gate Valley,July,2016,z,email,True,2016,False,2.0
158427,3,SENIOR,32,0,65 to 74 years,C2,Chinatown,March,2014,a,print,False,2003,False,5.0
326451,1,JUVENILE,209,0,0 to 9 years,M8,Mission Bay,July,2016,z,email,True,2015,False,0.0
32248,0,ADULT,217,93,45 to 54 years,E9,Excelsior,July,2016,z,email,True,2003,False,11.0
377822,2,YOUNG ADULT,5,0,10 to 19 years,P9,Presidio,November,2013,z,email,True,2013,False,2.0
120334,0,ADULT,3,5,55 to 59 years,P9,Presidio,July,2016,z,email,True,2011,False,0.0
344143,1,JUVENILE,63,12,0 to 9 years,R3,Richmond,July,2016,z,email,True,2009,False,1.0
